match_id,series,season,match_no,date,venue,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,toss_winner,toss_choosen,winner,player_of_the_match,winning_team,win_by
201721,IPL,2017,21st,"Apr 19,2017","Rajiv Gandhi International Stadium,Hyderabad",Sunrisers Hyderabad,Delhi Daredevils,"Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Moises Henriques, Yuvraj Singh, Naman Ojha(w), Deepak Hooda, Rashid Khan, Bhuvneshwar Kumar, Mohammed Siraj, Siddarth Kaul","Delhi Daredevils (Playing XI): Sanju Samson, Sam Billings, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Angelo Mathews, Chris Morris, Jayant Yadav, Pat Cummins, Amit Mishra, Zaheer Khan(c)",,,SRH,bat,Sunrisers Hyderabad won by 15 runs,Kane Williamson,Sunrisers Hyderabad,15 runs
201722,IPL,2017,22nd,"Apr 20,2017","Holkar Cricket Stadium,Indore",Kings XI Punjab,Mumbai Indians,"Kings XI Punjab (Playing XI): Hashim Amla, Shaun Marsh, Glenn Maxwell(c), Marcus Stoinis, Wriddhiman Saha(w), Axar Patel, Gurkeerat Singh Mann, Swapnil Singh, Mohit Sharma, Sandeep Sharma, Ishant Sharma","Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Kieron Pollard, Hardik Pandya, Krunal Pandya, Harbhajan Singh, Mitchell McClenaghan, Lasith Malinga, Jasprit Bumrah",,,MI,field,Mumbai Indians won by 8 wkts,Jos Buttler,Mumbai Indians,8 wkts
201723,IPL,2017,23rd,"Apr 21,2017","Eden Gardens,Kolkata",Kolkata Knight Riders,Gujarat Lions,"Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Shakib Al Hasan, Chris Woakes, Sunil Narine, Nathan Coulter-Nile, Kuldeep Yadav, Umesh Yadav","Gujarat Lions (Playing XI): Dwayne Smith, Brendon McCullum, Suresh Raina(c), Aaron Finch, Dinesh Karthik(w), Ishan Kishan, Ravindra Jadeja, James Faulkner, Praveen Kumar, Basil Thampi, Dhawal Kulkarni",,,GL,field,Gujarat Lions won by 4 wkts,Suresh Raina,Gujarat Lions,4 wkts
201724,IPL,2017,24th,"Apr 22,2017","Maharashtra Cricket Association Stadium,Pune",Rising Pune Supergiant,Sunrisers Hyderabad,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), MS Dhoni(w), Ben Stokes, Daniel Christian, Manoj Tiwary, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat","Sunrisers Hyderabad (Playing XI): David Warner(c), Shikhar Dhawan, Kane Williamson, Moises Henriques, Deepak Hooda, Naman Ojha(w), Rashid Khan, Bipul Sharma, Bhuvneshwar Kumar, Mohammed Siraj, Siddarth Kaul",,,RPS,field,Rising Pune Supergiant won by 6 wkts,MS Dhoni,Rising Pune Supergiant,6 wkts
201725,IPL,2017,25th,"Apr 22,2017","Wankhede Stadium,Mumbai",Mumbai Indians,Delhi Daredevils,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Hardik Pandya, Kieron Pollard, Krunal Pandya, Mitchell Johnson, Harbhajan Singh, Mitchell McClenaghan, Jasprit Bumrah","Delhi Daredevils (Playing XI): Aditya Tare, Sanju Samson, Shreyas Iyer, Karun Nair, Rishabh Pant(w), Corey Anderson, Chris Morris, Pat Cummins, Amit Mishra, Kagiso Rabada, Zaheer Khan(c)",,,DD,field,Mumbai Indians won by 14 runs,Mitchell McClenaghan,Mumbai Indians,14 runs
201726,IPL,2017,26th,"Apr 23,2017","Saurashtra Cricket Association Stadium,Rajkot",Gujarat Lions,Kings XI Punjab,"Gujarat Lions (Playing XI): Aaron Finch, Brendon McCullum, Suresh Raina(c), Dinesh Karthik(w), Dwayne Smith, Ravindra Jadeja, Akshdeep Nath, Andrew Tye, Shubham Agarwal, Basil Thampi, Nathu Singh","Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Glenn Maxwell(c), Wriddhiman Saha(w), Shaun Marsh, Marcus Stoinis, Axar Patel, KC Cariappa, T Natarajan, Mohit Sharma, Sandeep Sharma",,,GL,field,Kings XI Punjab won by 26 runs,Hashim Amla,Kings XI Punjab,26 runs
201727,IPL,2017,27th,"Apr 23,2017","Eden Gardens,Kolkata",Kolkata Knight Riders,Royal Challengers Bangalore,"Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Sunil Narine, Robin Uthappa(w), Manish Pandey, Yusuf Pathan, Suryakumar Yadav, Colin de Grandhomme, Chris Woakes, Nathan Coulter-Nile, Umesh Yadav, Kuldeep Yadav","Royal Challengers Bangalore (Playing XI): Chris Gayle, Virat Kohli(c), AB de Villiers, Kedar Jadhav(w), Mandeep Singh, Stuart Binny, Pawan Negi, Tymal Mills, Sreenath Aravind, Samuel Badree, Yuzvendra Chahal",,,RCB,field,Kolkata Knight Riders won by 82 runs,Nathan Coulter-Nile,Kolkata Knight Riders,82 runs
201728,IPL,2017,28th,"Apr 24,2017","Wankhede Stadium,Mumbai",Mumbai Indians,Rising Pune Supergiant,"Mumbai Indians (Playing XI): Parthiv Patel(w), Jos Buttler, Nitish Rana, Rohit Sharma(c), Kieron Pollard, Hardik Pandya, Harbhajan Singh, Karn Sharma, Mitchell McClenaghan, Mitchell Johnson, Jasprit Bumrah","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), MS Dhoni(w), Ben Stokes, Manoj Tiwary, Daniel Christian, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat",,,MI,field,Rising Pune Supergiant won by 3 runs,Ben Stokes,Rising Pune Supergiant,3 runs
201730,IPL,2017,30th,"Apr 26,2017","Maharashtra Cricket Association Stadium,Pune",Rising Pune Supergiant,Kolkata Knight Riders,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Faf du Plessis, MS Dhoni(w), Manoj Tiwary, Daniel Christian, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Sunil Narine, Robin Uthappa(w), Darren Bravo, Manish Pandey, Yusuf Pathan, Colin de Grandhomme, Chris Woakes, Piyush Chawla, Kuldeep Yadav, Umesh Yadav",,,KKR,field,Kolkata Knight Riders won by 7 wkts,Robin Uthappa,Kolkata Knight Riders,7 wkts
201731,IPL,2017,31st,"Apr 27,2017","M.Chinnaswamy Stadium,Bengaluru",Royal Challengers Bangalore,Gujarat Lions,"Royal Challengers Bangalore (Playing XI): Chris Gayle, Virat Kohli(c), Mandeep Singh, AB de Villiers, Travis Head, Kedar Jadhav(w), Pawan Negi, Samuel Badree, Sreenath Aravind, Yuzvendra Chahal, Aniket Choudhary","Gujarat Lions (Playing XI): Brendon McCullum, Aaron Finch, Suresh Raina(c), Dinesh Karthik(w), Ishan Kishan, Ravindra Jadeja, James Faulkner, Andrew Tye, Nathu Singh, Basil Thampi, Ankit Soni",,,GL,field,Gujarat Lions won by 7 wkts,Andrew Tye,Gujarat Lions,7 wkts
